Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
84f90cf9ead4deb742cf19e6a72b1cbe85254373e1d6324a53337edb5da31e7c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.043357,51.457155,On or near NASH ROAD,E01003337,Lewisham 010B,Local resolution
2d4843f35f3cf046975499153bc6daf92b059c0b6a25fd9dddc1e83c0b6b73ba,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.048259,51.416463,On or near TENNYSON ROAD,E01000805,Bromley 004E,Suspect charged
66170be4d49f0ac4e342a89f40cd412035dfa6cc550f0d0a71c363293c0d6f08,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.116134,51.375219,On or near TINTAGEL ROAD,E01000789,Bromley 032B,Local resolution
d6f03a6b792ec59b6ecd7df9e1ba4a4e5a9662a83f7bea56da22a83c057eaf7b,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.046015,51.429685,On or near DUNKERY ROAD,E01000781,Bromley 001C,Investigation complete; no suspect identified
f279bd0cc61ade9d7688aae59cdf22eae12eb2a4fda87bde20a43362366bf14b,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.051360,51.412864,On or near Supermarket,E01000799,Bromley 004A,Local resolution
e963e4d265afd1ee5d3d4d9869fdcf208e549165c48edc8d837937dc0133b171,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.059126,51.416599,On or near MALCOLM ROAD,E01000806,Bromley 009F,Local resolution
ec835322796b6068fb3999905dd76004b95f63bc21c69407a66a06478a05db07,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.016349,51.402519,On or near Nightclub,E01000675,Bromley 018B,Local resolution
43d2ba484db8f70f74d49d0b92eb45421632382642ff8344f62c14f08d47fa30,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.018104,51.448295,On or near PATROL PLACE,E01003324,Lewisham 020E,Investigation complete; no suspect identified
43d2ba484db8f70f74d49d0b92eb45421632382642ff8344f62c14f08d47fa30,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.018104,51.448295,On or near PATROL PLACE,E01003324,Lewisham 020E,Investigation complete; no suspect identified
7263817f77b46a22a21b87b1bf0ad2c7d54a2a47b19a9ecf13d4ca6a0150c3dc,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.054531,51.561592,On or near GUNTON ROAD,E01001792,Hackney 011A,Investigation complete; no suspect identified
7263817f77b46a22a21b87b1bf0ad2c7d54a2a47b19a9ecf13d4ca6a0150c3dc,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.054531,51.561592,On or near GUNTON ROAD,E01001792,Hackney 011A,Investigation complete; no suspect identified
